species,family,n.replications,n.EUNIS.habitats,Disturbance.Severity,Disturbance.Severity.herblayer,Disturbance.Frequency,Disturbance.Frequency.herblayer,Mowing.Frequency,Grazing.Pressure,Soil.Disturbance,SD_Disturbance.Severity,SD_Disturbance.Severity.herblayer,SD_Disturbance.Frequency,SD_Disturbance.Frequency.herblayer,SD_Mowing.Frequency,SD_Grazing.Pressure,SD_Soil.Disturbance
Carex fuliginosa,Cyperaceae,999,14,0.26038,0.25283,1.36732,1.49401,0.00528,0.22065,0.09182,0.0015,0.0016,0.0635,0.0506,0.025,0.0017,0.0013
Carex glacialis,Cyperaceae,994,6,0.28696,0.28696,1.75151,1.75151,0,0.26,0.068,8.00E-04,8.00E-04,0.0931,0.0931,0,0.0055,0.0025
Carex glareosa,Cyperaceae,999,9,0.41379,0.41379,1.87278,1.87278,0.08905,0.35385,0.18727,0.0066,0.0066,0.0617,0.0617,2.4919,0.0055,0.0038
Carex globularis,Cyperaceae,999,22,0.63633,0.11042,0.1386,1.33589,0.01032,0.1832,0.13888,0.0018,7.00E-04,0.3055,0.0306,0.1429,4.00E-04,9.00E-04
Carex halleriana,Cyperaceae,999,74,0.62149,0.25679,0.28439,1.44697,0.14078,0.31245,0.143,4.00E-04,6.00E-04,0.1427,0.012,0.1379,4.00E-04,3.00E-04
Carex hartmaniorum,Cyperaceae,999,22,0.4791,0.47045,1.68561,1.92566,1.14005,0.21728,0.14023,0.0017,0.0019,0.1387,0.0346,0.3151,0.001,0.0014
Carex heleonastes,Cyperaceae,999,6,0.1551,0.14286,1.37792,1.4572,0.14255,0.08235,0.21346,0.0042,0.0019,0.6598,0.0795,1.7869,0.0017,0.0056
Carex helodes,Cyperaceae,999,27,0.5,0.39274,0.85344,1.56597,0.3583,0.19915,0.13305,0.0026,0.0025,0.5079,0.0435,0.678,0.0013,0.0012
Carex hirta,Cyperaceae,999,93,0.52271,0.49368,1.29975,1.89665,0.85594,0.32101,0.24412,3.00E-04,4.00E-04,0.0534,0.0061,0.0838,7.00E-04,5.00E-04
Carex hispida,Cyperaceae,999,32,0.4375,0.278,0.72233,1.46121,0.38795,0.2089,0.11523,0.0046,0.0051,0.6007,0.0816,1.065,0.0034,0.0024
Carex hordeistichos,Cyperaceae,999,10,0.46,0.46,1.96019,1.96019,0.96165,0.4087,0.175,0.0096,0.0096,0.0308,0.0308,2.4867,0.0151,0.0076
Carex hostiana,Cyperaceae,999,43,0.3055,0.2955,1.68339,1.93181,0.90366,0.17467,0.07461,9.00E-04,0.001,0.0416,0.0096,0.2015,9.00E-04,7.00E-04
Carex humilis,Cyperaceae,999,86,0.51436,0.32473,0.54057,1.49633,0.23474,0.30264,0.14416,3.00E-04,4.00E-04,0.0924,0.0159,0.1096,2.00E-04,2.00E-04
Carex illegitima,Cyperaceae,999,8,0.70286,0.17714,0.20007,1.49099,0,0.26286,0.11143,1.00E-04,0.0023,0.5007,0.0068,0,0.0019,3.00E-04
Carex kitaibeliana,Cyperaceae,999,36,0.29737,0.28689,1.34133,1.45534,0.0417,0.27302,0.10411,8.00E-04,7.00E-04,0.2062,0.1692,0.1483,0.001,6.00E-04
Carex lachenalii,Cyperaceae,999,33,0.325,0.2548,0.96045,1.57643,0.1102,0.1642,0.1587,0.0039,0.0032,0.5039,0.0368,0.7317,0.0016,0.0025
Carex laevigata,Cyperaceae,999,32,0.5686,0.34167,0.54596,1.53922,0.16042,0.2168,0.1374,0.0037,0.0029,0.512,0.0603,1.1405,0.0039,0.0024
Carex lapponica,Cyperaceae,457,4,0.11,0.11,1.33724,1.33724,0.09366,0.1,0.12,0.0021,0.0021,0.0826,0.0826,2.003,0,0.0057
Carex lasiocarpa,Cyperaceae,999,45,0.24799,0.15351,0.9188,1.38702,0.19093,0.1066,0.16029,0.0015,7.00E-04,0.1562,0.0246,0.3098,5.00E-04,8.00E-04
Carex lepidocarpa,Cyperaceae,999,51,0.26914,0.25806,1.58832,1.79884,0.63282,0.1389,0.08426,0.0012,0.0011,0.0868,0.0294,0.2757,9.00E-04,8.00E-04
Carex leporina,Cyperaceae,999,91,0.52308,0.47623,1.12419,1.96656,0.77978,0.31848,0.24065,5.00E-04,6.00E-04,0.0973,0.0103,0.1344,8.00E-04,5.00E-04
Carex limosa,Cyperaceae,999,30,0.15389,0.1298,1.20276,1.40127,0.10001,0.08899,0.17428,0.001,5.00E-04,0.11,0.017,0.3042,4.00E-04,8.00E-04
Carex liparocarpos,Cyperaceae,999,39,0.46719,0.41091,1.19409,1.84474,0.33133,0.35207,0.20517,0.0016,0.0016,0.2373,0.047,0.5688,0.0015,0.0015
Carex livida,Cyperaceae,999,7,0.2,0.18193,1.54025,1.72467,0.1012,0.04713,0.22099,0.0034,0.0017,0.297,0.1006,1.2401,0.0024,0.0039
Carex loliacea,Cyperaceae,999,11,0.66892,0.12667,0.1105,1.25486,0.01216,0.17973,0.11806,0.0064,0.002,1.1799,0.121,0.7163,0.0015,0.0027
Carex lyngbyei,Cyperaceae,999,4,0.175,0.175,1.6218,1.6218,0.41958,0.09189,0.13889,0.0015,0.0015,0.0572,0.0572,1.695,0.0018,0.0047
Carex mackenziei,Cyperaceae,999,11,0.28261,0.28261,1.68333,1.68333,0.25632,0.23673,0.16667,0.0098,0.0098,0.0986,0.0986,2.8283,0.0098,0.0041
Carex macrolepis,Cyperaceae,999,36,0.43396,0.35169,0.95038,1.56427,0.12072,0.30556,0.10929,0.0022,0.0018,0.236,0.023,0.3675,0.0013,0.001
Carex macrostyla,Cyperaceae,999,9,0.33594,0.31692,1.41304,2.04762,0.07002,0.33846,0.14333,0.0047,0.0034,1.0808,0.0485,1.1709,0.0051,0.0031
Carex magellanica,Cyperaceae,999,23,0.22591,0.12091,0.80595,1.32986,0.12434,0.11077,0.16678,0.0052,0.001,0.6221,0.0628,0.7599,0.0012,0.0023
Carex mairei,Cyperaceae,999,14,0.34684,0.33095,1.45022,1.90805,1.00587,0.31013,0.10361,0.0016,0.0015,0.0939,0.0569,0.2221,0.0013,1.00E-04
Carex maritima,Cyperaceae,999,16,0.26449,0.2578,1.65175,1.88158,0.1271,0.18942,0.09811,0.0045,0.0043,0.0818,0.0352,0.9906,0.0054,0.0058
Carex melanostachya,Cyperaceae,999,36,0.58454,0.54242,1.08032,1.8609,0.70039,0.1847,0.16676,0.0024,0.0026,0.1654,0.0128,0.3768,0.0017,0.0019
Carex michelii,Cyperaceae,999,32,0.59197,0.28631,0.29646,1.49689,0.24802,0.24651,0.107,0.0012,0.0019,0.464,0.0195,0.459,6.00E-04,4.00E-04
Carex microcarpa,Cyperaceae,999,13,0.5569,0.27636,0.35997,1.30258,0,0.20877,0.10566,0.0049,0.0032,0.6774,0.0421,0,0.001,0.0017
Carex microglochin,Cyperaceae,999,6,0.1982,0.19521,1.8923,1.92386,0.1781,0.1,0.00958,4.00E-04,4.00E-04,0.0164,0.0161,0.9677,0,8.00E-04
Carex montana,Cyperaceae,999,59,0.61095,0.25691,0.23403,1.45432,0.20369,0.2267,0.11984,4.00E-04,6.00E-04,0.1597,0.0116,0.1594,2.00E-04,3.00E-04
Carex mucronata,Cyperaceae,999,32,0.31116,0.24046,0.7382,1.04777,0.01592,0.21723,0.08046,0.0017,9.00E-04,0.3118,0.1295,0.1606,9.00E-04,4.00E-04
Carex muricata,Cyperaceae,999,85,0.62769,0.2631,0.22741,1.43767,0.17474,0.20497,0.17303,0.001,0.0013,0.2803,0.017,0.2828,7.00E-04,8.00E-04
Carex nigra,Cyperaceae,999,106,0.40599,0.35439,1.11525,1.63101,0.47512,0.24312,0.17532,4.00E-04,4.00E-04,0.0404,0.0088,0.0932,4.00E-04,2.00E-04
Carex norvegica,Cyperaceae,999,10,0.288,0.22174,1.04576,1.72478,0.05453,0.14483,0.05217,0.0061,0.0053,0.5699,0.0719,1.6381,0.0066,0.0065
Carex olbiensis,Cyperaceae,999,12,0.6925,0.12812,0.03858,1.28925,0.00778,0.24904,0.09625,1.00E-04,5.00E-04,0.1462,0.0024,0.0305,8.00E-04,1.00E-04
Carex ornithopoda,Cyperaceae,999,65,0.50253,0.24727,0.36178,1.23068,0.09578,0.23502,0.10774,0.001,9.00E-04,0.2453,0.0652,0.2542,5.00E-04,4.00E-04
Carex pallescens,Cyperaceae,999,74,0.53225,0.42415,0.75021,1.788,0.61114,0.19776,0.23255,4.00E-04,6.00E-04,0.1284,0.0113,0.1467,4.00E-04,5.00E-04
Carex pallidula,Cyperaceae,999,10,0.58519,0.39259,0.56763,1.60206,0.33075,0.18846,0.204,0.0063,0.0124,2.619,0.2769,3.376,0.0049,0.0114
Carex panicea,Cyperaceae,999,90,0.39292,0.37934,1.58337,1.81747,0.69097,0.2216,0.15388,4.00E-04,4.00E-04,0.024,0.0048,0.0854,4.00E-04,3.00E-04
Carex paniculata,Cyperaceae,999,52,0.42196,0.27943,0.72366,1.40858,0.33956,0.1351,0.10238,0.0012,0.001,0.1431,0.0251,0.2571,4.00E-04,4.00E-04
Carex parallela,Cyperaceae,989,7,0.205,0.205,1.63985,1.63985,0.0421,0.15217,0.05455,0.0021,0.0021,0.0922,0.0922,1.7475,0.003,0.0031
Carex parviflora,Cyperaceae,999,20,0.22837,0.22219,1.44612,1.51645,0.01652,0.19802,0.13972,0.0016,0.0015,0.1381,0.0269,0.2609,0.0015,0.001
Carex pauciflora,Cyperaceae,999,20,0.25706,0.10699,0.63569,1.35334,0.09195,0.12699,0.19248,0.0027,3.00E-04,0.3378,0.0181,0.3838,5.00E-04,0.001
Carex pediformis,Cyperaceae,999,25,0.60867,0.25705,0.26924,1.49065,0.18569,0.28434,0.14067,0.0014,0.0024,0.5195,0.0233,0.5237,0.0016,6.00E-04
Carex pendula,Cyperaceae,999,54,0.66743,0.28167,0.18413,1.39139,0.05259,0.18663,0.10692,5.00E-04,7.00E-04,0.1502,0.0106,0.1343,3.00E-04,3.00E-04
Carex pilosa,Cyperaceae,999,46,0.69674,0.11357,0.01538,1.30638,0.00676,0.19716,0.10429,1.00E-04,2.00E-04,0.0567,0.0029,0.0407,1.00E-04,1.00E-04
Carex pilulifera,Cyperaceae,999,86,0.60869,0.25325,0.26837,1.45479,0.12522,0.26659,0.16643,4.00E-04,4.00E-04,0.1199,0.0082,0.1067,3.00E-04,3.00E-04
Carex praecox,Cyperaceae,999,65,0.57297,0.5015,0.9188,1.79457,0.65585,0.24046,0.21517,0.0011,0.0015,0.177,0.0124,0.2671,0.001,0.0012
Carex pseudocyperus,Cyperaceae,999,45,0.38503,0.22409,0.68393,1.37179,0.15911,0.1061,0.10725,0.0019,0.0011,0.2357,0.0398,0.3774,8.00E-04,7.00E-04
Carex pulicaris,Cyperaceae,999,50,0.36752,0.3546,1.60342,1.847,0.6399,0.27011,0.14969,9.00E-04,9.00E-04,0.0656,0.0108,0.2372,0.0012,9.00E-04
Carex punctata,Cyperaceae,999,27,0.45968,0.39831,0.97988,1.60044,0.21177,0.27377,0.17931,0.0038,0.005,0.2771,0.0575,1.3861,0.0073,0.0044
Carex pyrenaica,Cyperaceae,999,13,0.26649,0.26649,1.85832,1.85832,0.03468,0.19796,0.13015,0.0016,0.0016,0.0246,0.0246,0.4447,0.0017,0.0015
Carex randalpina,Cyperaceae,999,7,0.34348,0.27308,0.82565,1.65531,0.56864,0.14,0.1,0.0053,0.0048,0.4246,0.1501,0.6447,0.0015,0
Carex rariflora,Cyperaceae,999,14,0.16881,0.15113,1.39538,1.45653,0.108,0.11943,0.14669,0.0013,0.0013,0.0288,0.0265,0.4824,0.0014,0.0017
Carex remota,Cyperaceae,999,66,0.65725,0.27827,0.16942,1.40771,0.03603,0.18505,0.11135,4.00E-04,5.00E-04,0.1053,0.0089,0.0805,2.00E-04,2.00E-04
Carex reuteriana,Cyperaceae,999,20,0.51,0.31128,0.54576,1.63099,0.00778,0.14457,0.11049,0.0017,0.0012,0.1886,0.0129,0.2282,0.0011,6.00E-04
Carex rhynchophysa,Cyperaceae,999,8,0.40417,0.22083,0.52047,1.51689,0.1107,0.108,0.10909,0.0156,0.0072,2.8306,0.2532,1.1858,0.0046,0.004
Carex riparia,Cyperaceae,999,50,0.3721,0.29028,0.80255,1.59014,0.44388,0.15049,0.11311,9.00E-04,6.00E-04,0.1145,0.013,0.1623,6.00E-04,3.00E-04
Carex rostrata,Cyperaceae,999,70,0.26806,0.20946,1.0658,1.43087,0.27956,0.11952,0.14014,7.00E-04,6.00E-04,0.061,0.0112,0.1609,3.00E-04,3.00E-04
Carex rotundata,Cyperaceae,999,9,0.12273,0.12273,1.37406,1.37406,0.02255,0.09558,0.16325,0.0011,0.0011,0.0424,0.0424,0.6898,0.001,0.0029
Carex rupestris,Cyperaceae,999,23,0.2808,0.27572,1.29934,1.36915,0.00536,0.23532,0.07774,9.00E-04,8.00E-04,0.158,0.1346,0.0698,0.001,6.00E-04
Carex salina,Cyperaceae,876,5,0.29524,0.29524,1.58582,1.58582,0,0.25238,0.22381,0.0089,0.0089,0.0912,0.0912,0,0.0064,0.001
Carex saxatilis,Cyperaceae,999,12,0.18174,0.17727,1.64782,1.67468,0.07444,0.08482,0.14018,0.0012,0.0012,0.045,0.0445,0.8839,0.0012,0.0037
Carex secalina,Cyperaceae,999,6,0.48333,0.48333,2.08873,2.08873,1.03539,0.60833,0.148,0.0052,0.0052,0.0214,0.0214,1.8876,0.0074,0.0039
Carex sempervirens,Cyperaceae,999,60,0.34396,0.30869,1.1017,1.47476,0.08459,0.26486,0.09879,4.00E-04,3.00E-04,0.0734,0.0361,0.0921,3.00E-04,2.00E-04
Carex spicata,Cyperaceae,999,62,0.56745,0.42807,0.64167,1.73712,0.55902,0.21524,0.26615,8.00E-04,0.0012,0.2811,0.0159,0.31,0.0013,0.0011
Carex stenophylla,Cyperaceae,999,26,0.5124,0.50201,1.70758,2.13558,0.36147,0.38477,0.29256,0.0038,0.0038,0.0634,0.0196,0.928,0.0043,0.0024
Carex strigosa,Cyperaceae,999,21,0.68723,0.28724,0.05848,1.46924,0.01299,0.19347,0.10521,0.0011,0.0016,0.4448,0.0351,0.3752,5.00E-04,5.00E-04
Carex subspathacea,Cyperaceae,999,8,0.45692,0.45692,2.04425,2.04425,0.00705,0.3597,0.19153,0.0019,0.0019,0.015,0.015,0.7697,0.0025,8.00E-04
Carex supina,Cyperaceae,999,20,0.49705,0.46982,1.37349,2.02646,0.79456,0.40232,0.18928,0.0012,0.0014,0.1884,0.0152,0.4145,0.0019,0.0013
Carex sylvatica,Cyperaceae,999,77,0.6853,0.17303,0.06383,1.33807,0.02782,0.19231,0.10978,1.00E-04,2.00E-04,0.0513,0.0037,0.0415,1.00E-04,1.00E-04
Carex trinervis,Cyperaceae,999,30,0.39208,0.35686,1.27726,1.57965,0.06627,0.36165,0.23409,0.0022,0.0025,0.1651,0.0451,0.4593,0.0028,0.002
Carex umbrosa,Cyperaceae,999,49,0.55341,0.24596,0.30402,1.45456,0.1607,0.21177,0.11176,0.0015,0.0016,0.4116,0.0202,0.4251,5.00E-04,8.00E-04
Carex vaginata,Cyperaceae,999,42,0.49193,0.19566,0.38631,1.41346,0.04745,0.19869,0.10173,0.0028,0.0015,0.5141,0.0434,0.4357,0.0012,0.001
Carex vesicaria,Cyperaceae,999,48,0.38653,0.32167,0.95585,1.61407,0.48654,0.15468,0.11449,0.001,8.00E-04,0.1086,0.0133,0.1908,5.00E-04,3.00E-04
Carex viridula,Cyperaceae,999,64,0.35706,0.34476,1.52962,1.75203,0.31762,0.281,0.16805,0.0015,0.0015,0.0521,0.0172,0.4075,0.0019,0.0011
Carex vulpina,Cyperaceae,999,63,0.45841,0.43417,1.25446,1.92256,0.74079,0.30789,0.1248,9.00E-04,9.00E-04,0.0963,0.0078,0.178,0.0012,6.00E-04
Carlina acanthifolia,Compositae,999,55,0.49478,0.39972,0.89126,1.73281,0.42067,0.32768,0.16226,7.00E-04,9.00E-04,0.1658,0.0133,0.2714,9.00E-04,7.00E-04
Carlina acaulis,Compositae,999,72,0.47035,0.41844,1.0593,1.67653,0.48695,0.27035,0.17171,3.00E-04,4.00E-04,0.0799,0.0303,0.1395,4.00E-04,4.00E-04
Carlina corymbosa aggr.,Compositae,999,78,0.65638,0.44342,0.58169,1.5326,0.24244,0.31706,0.19784,9.00E-04,0.0013,0.1773,0.0225,0.2071,8.00E-04,8.00E-04
Carlina graeca,Compositae,999,25,0.74856,0.42722,0.55101,1.72679,0.14983,0.34063,0.26709,0.0018,0.004,0.4382,0.0474,0.5354,0.0019,0.0021
Carlina gummifera,Compositae,999,19,0.68913,0.45797,0.74367,1.49763,0.20669,0.45259,0.1542,0.0036,0.0061,0.8176,0.1627,1.0439,0.0043,0.0016
Carlina lanata,Compositae,999,17,0.74032,0.46911,0.87261,1.74825,0.18635,0.37717,0.26942,0.0039,0.0059,0.2558,0.022,0.9016,0.0025,0.0034
Carlina macrocephala,Compositae,999,17,0.37356,0.25618,0.84897,1.34089,0.05386,0.26548,0.09341,0.0045,0.0025,0.8229,0.076,0.5284,0.0028,0.0025
Carlina nebrodensis,Compositae,999,14,0.4027,0.31216,1.11645,1.89981,0.04068,0.36125,0.11892,0.0043,0.003,0.9187,0.0576,0.2747,0.0026,0.0026
Carlina sicula,Compositae,999,17,0.68202,0.44432,0.66345,1.32573,0.17227,0.35506,0.19,0.008,0.009,1.1278,0.3433,1.1893,0.0063,0.0035
Carlina vulgaris aggr.,Compositae,999,111,0.51835,0.43197,0.90721,1.7296,0.56651,0.29057,0.15318,4.00E-04,5.00E-04,0.0886,0.0085,0.1429,4.00E-04,4.00E-04
Carpesium cernuum,Compositae,999,3,0.69231,0.11538,0.0153,1.28464,0.0153,0.19615,0.1,0.0023,0.0047,1.0463,0.0581,1.0463,0.0012,0
Carpinus betulus,Corylaceae,999,76,0.695,0.13806,0.03343,1.32501,0.01288,0.19547,0.10889,1.00E-04,2.00E-04,0.038,0.002,0.0323,1.00E-04,1.00E-04
Carpinus orientalis,Corylaceae,999,43,0.6951,0.11697,0.01932,1.3032,0.00585,0.20977,0.10382,3.00E-04,4.00E-04,0.0919,0.004,0.0623,2.00E-04,2.00E-04
Carpobrotus acinaciformis,Aizoaceae,999,10,0.34375,0.31481,0.80077,0.84809,0.05043,0.11,0.27241,0.0225,0.0212,1.0286,0.9978,2.7499,0.0087,0.0239
Carpobrotus edulis,Aizoaceae,999,19,0.53548,0.45889,0.92295,1.43433,0.11829,0.15667,0.51023,0.0083,0.0074,0.534,0.3073,1.2456,0.0039,0.0105
Carthamus caeruleus,Compositae,999,13,0.81017,0.77241,1.28199,1.71015,0.60862,0.21613,0.34237,0.0019,0.0027,0.1058,0.0342,0.8006,0.0025,0.0033
Carthamus carduncellus,Compositae,999,21,0.54174,0.38738,0.96561,1.76313,0.3821,0.40776,0.20092,0.0015,0.0026,0.4275,0.0221,0.7184,0.0021,0.002
Carthamus dentatus,Compositae,521,6,0.795,0.745,1.79452,2.15181,0.67366,0.255,0.4,0,0,0,0,0,0,0
Carthamus lanatus,Compositae,999,50,0.71654,0.69074,1.43351,1.86391,0.53419,0.29655,0.33812,0.002,0.0024,0.1976,0.0161,0.3894,0.0013,0.0017
Carthamus mitissimus,Compositae,999,17,0.5,0.47846,1.59645,1.9512,0.86585,0.3841,0.17683,6.00E-04,9.00E-04,0.1702,0.0211,0.3848,0.0013,0.0013
Carum appuanum,Apiaceae,480,9,0.37,0.21,0.49383,1.07962,0,0.19,0.07,0,0,0,0,0,0,0
Carum carvi,Apiaceae,999,67,0.5043,0.49339,1.6217,2.0645,1.03763,0.26147,0.33955,4.00E-04,4.00E-04,0.0527,0.0137,0.1058,8.00E-04,6.00E-04
Carum caucasicum,Apiaceae,999,13,0.27725,0.27725,1.65916,1.65916,0.01354,0.20847,0.08842,5.00E-04,5.00E-04,0.0185,0.0185,0.0223,6.00E-04,6.00E-04
Carum graecum,Apiaceae,999,18,0.388,0.27162,0.71271,1.57445,0.04766,0.25385,0.10667,0.0043,0.0023,0.9847,0.4951,0.2443,0.0019,0.0015
Carum heldreichii,Apiaceae,999,20,0.34865,0.3027,0.89867,1.17198,0.13577,0.28611,0.11053,0.0025,0.0031,1.2196,1.1105,0.6983,0.0029,0.0016
Carum meifolium,Apiaceae,999,8,0.30303,0.30303,1.63299,1.63299,0.07004,0.19355,0.08125,0.0041,0.0041,0.0914,0.0914,1.7802,0.0022,0.0027
Carum verticillatum,Apiaceae,999,38,0.38145,0.37578,1.69419,1.80567,0.57692,0.26609,0.1841,0.0011,0.0011,0.0333,0.0119,0.2806,0.0012,8.00E-04
Cassiope hypnoides,Ericaceae,999,9,0.28113,0.28113,1.68089,1.68089,0,0.23302,0.11743,0.0016,0.0016,0.0421,0.0421,0,0.0028,8.00E-04
Cassiope tetragona,Ericaceae,999,11,0.29444,0.29444,1.6481,1.6481,0,0.30488,0.08988,3.00E-04,3.00E-04,0.018,0.018,0,0.0014,2.00E-04
Castanea sativa,Fagaceae,999,62,0.70347,0.12232,0.03223,1.30738,0.00761,0.201,0.11794,2.00E-04,2.00E-04,0.0458,0.0026,0.034,1.00E-04,1.00E-04
Castroviejoa frigida,Compositae,999,4,0.1625,0.1625,0.72447,0.72447,0,0.08438,0.02121,0.003,0.003,0.4502,0.4502,0,0.0047,0.0017
Catabrosa aquatica,Poaceae,999,29,0.31307,0.31034,1.67017,1.77098,0.14296,0.15934,0.11466,0.0016,0.0015,0.0874,0.007,0.3555,0.0023,0.0012
Catabrosella variegata,Poaceae,999,5,0.23333,0.23333,1.79368,1.79368,0,0.10556,0.10811,0.0025,0.0025,0.0651,0.0651,0,0.0032,0.0019
Catananche caerulea,Compositae,999,33,0.61187,0.28498,0.36199,1.55473,0.21062,0.30744,0.15121,6.00E-04,0.0011,0.2413,0.0107,0.2582,7.00E-04,5.00E-04
Catananche lutea,Compositae,479,6,0.83,0.775,1.19894,1.94885,0.81034,0.3,0.38571,0.0026,0.0047,0.2239,0.0333,2.2516,0.0055,0.0058
Catapodium balearicum,Poaceae,999,20,0.55169,0.52759,0.95833,1.00494,0.13664,0.26629,0.25722,0.0072,0.007,0.3077,0.3131,0.9017,0.0053,0.0056
Catapodium marinum,Poaceae,999,45,0.5016,0.49055,1.0866,1.11703,0.24405,0.22571,0.32238,0.004,0.004,0.1722,0.155,0.718,0.0033,0.0038
Catapodium rigidum,Poaceae,999,93,0.71921,0.60611,0.92427,1.76605,0.28584,0.29641,0.33527,0.0012,0.0014,0.1129,0.023,0.229,8.00E-04,0.0011
Caucalis platycarpos,Apiaceae,999,33,0.73643,0.71047,1.31881,1.91926,0.47881,0.21281,0.59419,0.0024,0.0031,0.3671,0.0145,0.53,0.0016,0.0038
Caucasalia pontica,Compositae,999,7,0.36364,0.23939,0.78416,1.38788,0.04036,0.2,0.08286,0.0089,0.0039,1.8753,0.0338,0.3306,0,0.0022
Cedrus atlantica,Pinaceae,999,15,0.79878,0.19756,0.13899,1.29836,0.02052,0.23012,0.23133,0.0023,0.0022,0.4827,0.0327,0.5254,0.0017,0.002
Celtica gigantea,Poaceae,999,12,0.38469,0.24688,0.66973,1.36612,0.03157,0.33263,0.12165,0.0041,0.0018,0.9562,0.0101,0.102,8.00E-04,3.00E-04
Celtis australis,Ulmaceae,999,32,0.68252,0.17247,0.10342,1.32912,0.01843,0.22334,0.11254,0.001,0.0021,0.4234,0.0154,0.3076,6.00E-04,9.00E-04
Cenchrus spinifex,Poaceae,608,9,0.585,0.545,1.24757,2.04096,0.21289,0.13636,0.59791,0.0144,0.0175,2.2756,0.1023,3.2943,0.0061,0.0231
Cenolophium denudatum,Apiaceae,999,21,0.62824,0.5369,0.89145,1.75394,0.44443,0.20233,0.20361,0.0032,0.0041,0.2898,0.0187,0.9334,0.0034,0.0027
Centaurea aeolica,Compositae,465,10,0.6619,0.445,0.61823,1.20286,0.18343,0.31429,0.21364,0.0137,0.0147,1.0992,0.6048,2.4016,0.012,0.0127
Centaurea affinis,Compositae,999,25,0.44911,0.32882,0.68267,1.61306,0.07729,0.28383,0.14702,0.0021,0.0015,0.3963,0.0222,0.3144,0.0013,9.00E-04
Centaurea alba aggr.,Compositae,999,43,0.46578,0.39933,1.07191,1.7198,0.28519,0.33688,0.17425,0.0021,0.0024,0.3539,0.0481,0.5981,0.0018,0.0019
Centaurea ambigua,Compositae,999,22,0.43333,0.40251,1.27091,1.79131,0.25834,0.32335,0.15276,0.0015,0.0014,0.2685,0.0153,0.522,7.00E-04,6.00E-04
Centaurea arenaria aggr.,Compositae,999,28,0.4486,0.43636,1.67296,1.93853,0.28834,0.1939,0.4296,0.0039,0.0041,0.0754,0.0696,0.8861,0.0021,0.0046
Centaurea aspera,Compositae,999,43,0.66231,0.59606,1.10099,1.71098,0.38184,0.21208,0.35229,0.0039,0.0039,0.303,0.0526,0.6951,0.0017,0.0037
Centaurea atropurpurea,Compositae,999,10,0.42588,0.2989,0.66685,1.55096,0.11269,0.2859,0.15422,0.0061,0.0044,1.222,0.2626,1.2229,0.0035,0.0027
Centaurea benedicta,Compositae,999,11,0.83553,0.83553,2.12687,2.12687,0.49178,0.23733,0.60267,0.0049,0.0049,0.0667,0.0322,0.7932,0.002,0.0059
Centaurea calcitrapa,Compositae,999,39,0.77273,0.74662,1.38252,1.80114,0.6468,0.22657,0.36103,0.0025,0.0031,0.1679,0.0252,0.6196,0.0036,0.003
Centaurea cineraria,Compositae,999,8,0.47931,0.38621,0.87581,0.91462,0.22536,0.31034,0.09655,0.0089,0.0067,0.3927,0.4195,0.9527,0.0073,0.0023
Centaurea collina,Compositae,999,9,0.73793,0.71724,1.44245,2.00422,0.86967,0.2,0.575,0.0094,0.0086,0.1202,0.0209,0.4831,0.0076,0.0181
Centaurea cristata,Compositae,999,6,0.58158,0.57436,2.04576,2.06215,0.896,0.40811,0.21351,0.0029,0.0056,0.1242,0.0169,1.2036,0.003,4.00E-04
Centaurea cuneifolia,Compositae,999,16,0.3525,0.33289,1.28246,1.58928,0.11494,0.28354,0.25,0.0058,0.0059,0.0835,0.0456,0.9661,0.0029,0.0084
Centaurea debeauxii,Compositae,999,21,0.52704,0.46506,0.98917,1.89011,0.82428,0.20827,0.29964,0.001,0.0014,0.2598,0.0405,0.4556,0.0032,0.0023
Centaurea decipiens,Compositae,999,8,0.50417,0.48125,1.49584,1.91386,1.09748,0.28,0.14902,0.0019,0.0037,0.928,0.0385,0.9133,0.0029,0.0033
Centaurea delucae,Compositae,999,4,0.3375,0.33333,1.74775,1.74775,0.09918,0.3625,0.09583,0.0049,0.005,0.0394,0.0394,2.3564,0.002,2.00E-04
Centaurea dichroantha,Compositae,270,6,0.64,0.175,0.20377,1.38195,0.02182,0.225,0.12,0.0039,0.0058,1.745,0.0578,0.0886,0.0019,0.0019
Centaurea diffusa,Compositae,999,43,0.58054,0.57197,1.73464,1.88558,0.6294,0.32374,0.26377,0.0017,0.0017,0.0297,0.0292,0.3749,0.0018,0.0021
Centaurea gerberi,Compositae,999,4,0.33103,0.32759,1.73812,1.74224,0.38685,0.14828,0.42414,0.0018,0.0019,0.0829,0.0832,1.5955,0.0038,0.0035
Centaurea glaberrima,Compositae,999,10,0.69302,0.43721,0.86814,1.44821,0.19604,0.38636,0.15476,0.0052,0.0124,1.056,0.0896,1.8184,0.0057,0.008
Centaurea grbavacensis,Compositae,999,3,0.32,0.29048,1.26914,2.07058,0,0.29524,0.12857,0.004,0.0046,0.1737,0.013,2.0626,0.0044,0.0027
Centaurea grisebachii,Compositae,999,22,0.7114,0.64336,0.93085,1.8726,0.40429,0.2823,0.38957,0.0053,0.0053,0.4306,0.1268,0.8079,0.003,0.0039
Centaurea idaea,Compositae,999,25,0.7035,0.48006,0.60794,1.90371,0.1507,0.36444,0.28006,0.002,0.0033,0.368,0.0137,0.4738,0.0019,0.0019
